Date,Open,High,Low,Close,Adj Close,Volume
2003-05-01,11.683333,11.730000,11.666667,11.671111,8.421101,234900
2003-05-02,11.708889,11.850000,11.708889,11.850000,8.550173,67500
2003-05-05,11.894444,11.980000,11.894444,11.977778,8.642367,47700
2003-05-06,11.977778,12.053333,11.966667,12.038889,8.686461,109800
2003-05-07,11.988889,12.018889,11.978889,12.016667,8.670430,313200
2003-05-08,11.944444,11.951111,11.900000,11.911111,8.594266,417600
2003-05-09,11.927778,12.060000,11.927778,12.051111,8.695281,63000
2003-05-12,12.105556,12.218889,12.100000,12.218889,8.816339,752400
2003-05-13,12.175556,12.175556,12.116667,12.150000,8.766630,276300
2003-05-14,12.150000,12.150000,12.065556,12.088889,8.722538,206100
2003-05-15,12.113333,12.113333,12.083333,12.113333,8.740174,337500
2003-05-16,12.144444,12.166667,12.088889,12.122222,8.746590,256500
2003-05-19,12.044444,12.044444,11.788889,11.833333,8.538147,128700
2003-05-20,11.861111,11.906667,11.827778,11.892222,8.580640,53100
2003-05-21,11.871111,11.905556,11.808889,11.902222,8.587851,45900
2003-05-22,11.905556,12.010000,11.905556,12.010000,8.665619,84600
2003-05-23,12.094444,12.162222,12.094444,12.133333,8.754606,74700
2003-05-27,12.162222,12.575556,12.162222,12.567778,9.068072,864000
2003-05-28,12.567778,12.640000,12.567778,12.622222,9.107354,396000
2003-05-29,12.611111,12.664444,12.588889,12.638889,9.119382,306900
2003-05-30,12.666667,12.785556,12.641111,12.785556,9.225206,368100
2003-06-02,12.822222,13.022222,12.822222,12.877778,9.291750,587700
2003-06-03,12.888889,12.888889,12.674444,12.780000,9.221196,244800
2003-06-04,12.777778,12.945556,12.777778,12.944444,9.339850,241200
2003-06-05,12.991111,12.991111,12.873333,12.957778,9.349470,509400
2003-06-06,13.027778,13.211111,13.026667,13.078889,9.436858,608400
2003-06-09,13.095556,13.095556,12.925556,12.966667,9.355886,208800
2003-06-10,12.971111,13.100000,12.971111,13.100000,9.452090,233100
2003-06-11,13.094444,13.121111,13.000000,13.111111,9.460106,294300
2003-06-12,13.133333,13.210000,13.123333,13.210000,9.531460,402300
2003-06-13,13.178889,13.216667,13.168889,13.205556,9.528251,694800
2003-06-16,13.244444,13.348889,13.227778,13.347778,9.630870,163800
2003-06-17,13.484444,13.633333,13.484444,13.622222,9.828890,352800
2003-06-18,13.585556,13.648889,13.542222,13.572222,9.792813,171900
2003-06-19,13.683333,13.705556,13.555556,13.572222,9.792813,225900
2003-06-20,13.611111,13.633333,13.533333,13.572222,9.792813,300600
2003-06-23,13.527778,13.527778,13.235556,13.238889,9.552302,332100
2003-06-24,13.183333,13.183333,13.066667,13.141111,9.481751,188100
2003-06-25,13.174444,13.331111,13.174444,13.250000,9.560320,1045800
2003-06-26,13.313333,13.400000,13.290000,13.393333,9.663739,210600
2003-06-27,13.411111,13.416667,13.297778,13.331111,9.618843,373500
2003-06-30,13.368889,13.368889,13.300000,13.322222,9.612430,279900
2003-07-01,13.372222,13.477778,13.333333,13.466667,9.716651,679500
2003-07-02,13.616667,13.793333,13.616667,13.783333,9.945135,1129500
2003-07-03,13.822222,13.828889,13.794444,13.822222,9.973199,110700
2003-07-07,13.966667,14.164444,13.966667,14.164444,10.220120,569700
2003-07-08,14.191111,14.230000,14.138889,14.204444,10.248982,347400
2003-07-09,14.194444,14.194444,14.111111,14.171111,10.224931,472500
2003-07-10,14.093333,14.093333,13.877778,13.922222,10.045349,1603800
2003-07-11,13.922222,14.038889,13.922222,14.038889,10.129527,212400
2003-07-14,14.194444,14.344444,14.194444,14.285556,10.307508,683100
2003-07-15,14.355556,14.355556,14.105556,14.105556,10.177629,2222100
2003-07-16,14.077778,14.155556,14.036667,14.116667,10.185650,828000
2003-07-17,14.027778,14.027778,13.747778,13.747778,9.919481,367200
2003-07-18,13.772222,13.931111,13.772222,13.931111,10.051764,205200
2003-07-21,13.876667,13.876667,13.728889,13.746667,9.918679,2148300
2003-07-22,13.782222,13.928889,13.766667,13.911111,10.037333,1022400
2003-07-23,13.866667,13.866667,13.740000,13.822222,9.973199,904500
2003-07-24,13.916667,14.010000,13.888889,13.888889,10.021299,749700
2003-07-25,13.991111,14.116667,13.972222,14.116667,10.185650,212400
2003-07-28,14.200000,14.238889,14.155556,14.194444,10.241767,1040400
2003-07-29,14.216667,14.223333,14.100000,14.114444,10.184045,805500
2003-07-30,14.081111,14.083333,13.983333,14.011111,10.109488,56700
2003-07-31,14.033333,14.121111,14.033333,14.077778,10.157591,339300
2003-08-01,14.105556,14.133333,14.090000,14.108889,10.180038,441000
2003-08-04,14.127778,14.135556,14.000000,14.046667,10.135143,394200
2003-08-05,14.046667,14.046667,13.895556,13.895556,10.026110,290700
2003-08-06,13.892222,13.907778,13.797778,13.833333,9.981215,371700
